ID 74 | ANS 1 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ ก. เคี้ยวยาให้ละเอียดก่อนกลืน | Q: หญิงอายุ 35 ปี เห็นปล้องพยาธิแบนคล้ายริบ
ID 75 | ANS 3 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ ค. ขัดขวางการสร้าง folic acid | Q: ยาในกลุ่ม quinolone มีกลไกการออกฤทธิ์เป็
ID 76 | ANS 3 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ ค. 3 เดือน | Q: ผู้ป่วยชายอายุ 19 ปีพบเภสัชกรที่ร้านขายย
ID 77 | ANS 3 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ ค. Varicella | Q: Acyclovir ไม่มีข้อบ่งใช้ในโรคใดต่อไปนี้
ID 78 | ANS 3 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ ค. Nevirapine | Q: ยาใดเป็นพิษต่อตับ
ID 79 | ANS 3 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ ค. พยาธิเส้นด้าย | Q: ชายอายุ 45 ปี มีอาชีพทำนา ที่บ้านเลี้ยงส
ID 80 | ANS 3 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ ค. ขัดขวางการสร้าง folic acid | Q: ยา chloramphenicol มีกลไกการออกฤทธิ์เป็น
ID 81 | ANS 3 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ ค. มะแว้งต้น | Q: ผู้ป่วยชายอายุ 19 ปีพบเภสัชกรที่ร้านขายย
ID 82 | ANS 3 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ ค. Valacyclovir | Q: ยาในข้อใดต่อไปนี้สามารถเข้าสู่ vitreous 
ID 83 | ANS 3 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ ค. Phosphodiesterase | Q: เอนไซม์ในข้อใดต่อไปนี้ ที่มีบทบาทสำคัญใน
ID 84 | ANS 3 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ ค. Albendazole 400 mg single dose | Q: ชายอายุ 45 ปี มีอาชีพทำนา ที่บ้านเลี้ยงส
ID 85 | ANS 2 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ ข. ขัดขวางการสร้างผนังหุ้มเซลล์ | Q: ยา sulfonamides มีกลไกการออกฤทธิ์เป็นอย่
ID 86 | ANS 2 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ ข. Gonorrhoea | Q: หญิงไทยคู่ อายุประมาณ 25 ปี มาที่ร้านยาด
ID 87 | ANS 2 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ ข. ใบชุมเห็ดเทศ | Q: สมุนไพรในข้อใดที่อาจรักษาโรคเริมและงูสวั
ID 88 | ANS 2 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ ข. Asymptomatic HIV infection | Q: ผู้ป่วยหญิงอายุ 25 ปี มารับที่คลินิกโรคต
ID 89 | ANS 2 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ ข. โลหิตจาง | Q: ข้อใดไม่ใช่ผลจากการติดเชื้อพยาธิปากขอ
ID 90 | ANS 5 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ จ. ขัดขวางการสังเคราะห์ polypeptide | Q: ยากลุ่ม polymyxin มีกลไกการออกฤทธิ์เป็นอ
ID 91 | ANS 5 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ จ. Ciprofloxacin 500 mg รับประทานครั้งเดียว | Q: หญิงไทยคู่ อายุประมาณ 25 ปี มาที่ร้านยาด
ID 92 | ANS 5 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ จ. Gels | Q: ตำรับยาของ acyclovir ดังตารางต่อไปนี้ อย
ID 93 | ANS 5 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ จ. AZT, 3TC, NVP | Q: ผู้ป่วยหญิงอายุ 25 ปี มารับที่คลินิกโรคต
ID 94 | ANS 5 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ จ. ซักเสื้อผ้า และผ้าปูที่นอนให้สะอาด | Q: คำแนะนำในการปฏิบัติตัวสำหรับผู้ป่วยรายนี
ID 95 | ANS 4 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ ง. FBC | Q: ยาที่เกิด drug interaction กับ quinolone
ID 96 | ANS 4 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ ง. Doxycycline ทำให้ผมร่วง | Q: หญิงไทยคู่ อายุประมาณ 25 ปี มาที่ร้านยาด
ID 97 | ANS 4 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ ง. ยาต้านไวรัสรักษาโรคเอดส์ จัดเป็นยาอันตราย | Q: ข้อใดถูกต้องเกี่ยวกับยาต้านไวรัสในด้านกฎ
ID 98 | ANS 4 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ ง. SGPT > 5X | Q: ผู้ป่วยหญิงอายุ 25 ปี มารับที่คลินิกโรคต
ID 99 | ANS 4 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ ง. พยาธิใบไม้ | Q: เด็กชายอายุ 2 ขวบ นอนหลับไม่สนิท ร้องกวน
ID 100 | ANS 4 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ ง. Hypotension | Q: Trimethoprim สามารถทำให้อาการข้างเคียงตา
ID 101 | ANS 4 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ ง. อย่ากลั้นปัสสาวะ | Q: หญิงไทยคู่ อายุประมาณ 25 ปี มาที่ร้านยาด
ID 102 | ANS 4 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ ง. Stavudine | Q: ผู้ป่วยกลับมาพบแพทย์อีก 1 สัปดาห์ต่อมา พ
ID 103 | ANS 4 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ ง. Mebendazole 100 mg single dose | Q: เด็กชายอายุ 2 ขวบ นอนหลับไม่สนิท ร้องกวน
ID 104 | ANS 3 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ ค. Erythromycin | Q: ยาในกลุ่มใดต่อไปนี้ออกฤทธิ์เป็น Bacteric
ID 105 | ANS 3 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ ค. Tinea curis | Q: ผู้ป่วยชายอายุ 19 ปี มาพบเภสัชกรที่ร้านย
ID 106 | ANS 3 | EXP_LINE1: ✅ คำตอบที่ถูกต้อง: ข้อ ค. 2HRZE/4HR และเปลี่ยน ritonavir เป็น efavarenz | Q: การรักษาใดเหมาะสมในผู้ป่วยรายนี้
